company,country,launch_site,launch_date,launch_year,launch_month,rocket_status,rocket_cost,mission_status,success_flag,mission_detail
SpaceX,USA,LC-39A,2020-08-07 05:12:00+00:00,2020.0,8.0,Active,50.0,Success,1,Falcon 9 Block 5 | Starlink V1 L9 & BlackSky
CASC,China,Site 9401 (SLS-2),2020-08-06 04:01:00+00:00,2020.0,8.0,Active,29.75,Success,1,Long March 2D | Gaofen-9 04 & Q-SAT
SpaceX,USA,Pad A,2020-08-04 23:57:00+00:00,2020.0,8.0,Active,62.0,Success,1,Starship Prototype | 150 Meter Hop
Roscosmos,Russia,Site 200/39,2020-07-30 21:25:00+00:00,2020.0,7.0,Active,65.0,Success,1,Proton-M/Briz-M | Ekspress-80 & Ekspress-103
ULA,USA,SLC-41,2020-07-30 11:50:00+00:00,2020.0,7.0,Active,145.0,Success,1,Atlas V 541 | Perseverance
CASC,China,LC-9,2020-07-25 03:13:00+00:00,2020.0,7.0,Active,64.68,Success,1,"Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1"
Roscosmos,Russia,Site 31/6,2020-07-23 14:26:00+00:00,2020.0,7.0,Active,48.5,Success,1,Soyuz 2.1a | Progress MS-15
CASC,China,LC-101,2020-07-23 04:41:00+00:00,2020.0,7.0,Active,62.0,Success,1,Long March 5 | Tianwen-1
SpaceX,USA,SLC-40,2020-07-20 21:30:00+00:00,2020.0,7.0,Active,50.0,Success,1,Falcon 9 Block 5 | ANASIS-II
JAXA,Japan,LA-Y1,2020-07-19 21:58:00+00:00,2020.0,7.0,Active,90.0,Success,1,H-IIA 202 | Hope Mars Mission
Northrop,USA,LP-0B,2020-07-15 13:46:00+00:00,2020.0,7.0,Active,46.0,Success,1,Minotaur IV | NROL-129
ExPace,China,Site 95,2020-07-10 04:17:00+00:00,2020.0,7.0,Active,28.3,Failure,0,"Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2"
CASC,China,LC-3,2020-07-09 12:11:00+00:00,2020.0,7.0,Active,29.15,Success,1,Long March 3B/E | Apstar-6D
